id,label,socre
34265740,0,1.992862003
33334007,0,1.984657364
34817809,0,1.982161203
33959810,0,1.9720694
32738004,0,1.963090803
34281049,0,1.963090803
34112274,0,1.954583715
33910674,0,1.952278184
32542571,0,1.951373513
34763697,0,1.950610762
32720713,0,1.950610762
34915073,0,1.949665729
33692884,0,1.949665729
32440942,0,1.947215562
34157164,0,1.946630944
33783865,0,1.946630944
35136670,0,1.946380601
34206396,0,1.942051506
33837432,0,1.941011899
33440794,0,1.935902452
34698514,0,1.934289718
34689756,0,1.934288648
34313587,0,1.933963976
33761791,0,1.933243767
34385954,0,1.932508639
33765803,0,1.932508639
33170802,0,1.92849776
34863157,0,1.928403184
32756602,0,1.92839044
35162614,0,1.926663826
32610733,0,1.926663826
34166884,0,1.924131954
35202783,0,1.918121504
34339624,0,1.918121504
34976710,0,1.918121504
33514637,0,1.918121504
32376402,0,1.918121504
32701431,0,1.918121504
34703638,0,1.918121504
32624086,0,1.918121504
34901826,0,1.918121504
33566980,0,1.91349904
35153346,0,1.91349904
35070526,0,1.91349904
34149471,0,1.91349904
35051080,0,1.91349904
32301300,0,1.907322171
32328916,0,1.904888342
32498749,0,1.878200973
32528614,0,1.872617537
32328761,0,1.866954713
33894139,0,1.866932511
34909539,0,1.864461978
32787916,0,1.864461978
35062666,0,1.860766495
32360446,0,1.860264751
33233560,0,1.856322299
33363098,0,1.855013303
34287893,0,1.855013303
32297939,0,1.854934499
34590500,0,1.854934499
32592969,0,1.854536998
32568498,0,1.852521446
32290348,0,1.851439132
32948688,0,1.850775157
34194208,0,1.850206977
32629084,0,1.842553175
33514595,0,1.83817801
32173256,0,1.83648563
33660321,0,1.83648563
32884676,0,1.832957045
32767788,0,1.826036854
34327553,0,1.825062953
32278111,0,1.81274969
34831720,0,1.805515409
33073246,0,1.805434665
34514548,0,1.798823711
33926069,0,1.797997266
35087429,0,1.795186626
33893747,0,1.793605725
32921746,0,1.793439333
34547362,0,1.791290012
32529044,0,1.789927885
33736721,0,1.784929822
34900402,0,1.772189351
33662799,0,1.772189351
35046717,0,1.772189351
33761041,0,1.772189351
35003131,0,1.772189351
33071957,0,1.772189351
34528005,0,1.772189351
32422349,0,1.772189351
33941194,0,1.772189351
33119056,0,1.772189351
34591782,0,1.772189351
34273579,0,1.772189351
34817217,0,1.772189351
34107198,0,1.772189351
33230406,0,1.772189351
35065948,0,1.772189351
32837969,0,1.772189351
32614499,0,1.772189351
32734283,0,1.772189351
32281695,0,1.772189351
35119644,0,1.772189351
33062105,0,1.772189351
33623551,0,1.772189351
32507686,0,1.772189351
33070500,0,1.772189351
34976527,0,1.772189351
34567319,0,1.772189351
32962052,0,1.772189351
32147516,0,1.772189351
32584188,0,1.769963479
34769921,0,1.767532271
34584776,0,1.766437837
34100936,0,1.765326604
33057631,0,1.762683292
34475792,0,1.760902224
34175563,0,1.758174433
33067740,0,1.750672622
34216091,0,1.750350198
34845989,0,1.749230541
34521677,0,1.745823314
34848292,0,1.74276305
34604149,0,1.741462559
33395338,0,1.738571966
32350104,0,1.738571966
33566863,0,1.735246747
34697503,0,1.733378879
32571526,0,1.730519538
34706165,0,1.730515016
