id,label,score
34394949,2,1.967507391
34318976,2,1.930147469
32631403,2,1.928379462
34792434,2,1.927340831
33655549,2,1.921149489
32435645,2,1.920699629
34090979,2,1.919574191
32283216,2,1.912071857
32414076,2,1.912071857
33906669,2,1.912071857
34574965,2,1.908947284
35127883,2,1.908947284
33627824,2,1.879037654
32455058,2,1.877430976
34374480,2,1.874422611
33317640,2,1.831558804
34276498,2,1.826315567
32917849,2,1.80401554
34333351,2,1.80401554
32613004,2,1.794369984
32367683,2,1.769181484
34706766,2,1.769181484
34482573,2,1.769181484
33238526,2,1.769181484
34042471,2,1.769181484
34697123,2,1.769181484
33121143,2,1.729980436
33146925,2,1.714908953
34682581,2,1.710151662
35010293,2,1.709530935
32811800,2,1.708312276
33393998,2,1.707976854
33330313,2,1.707976854
33094717,2,1.707976854
35120487,2,1.707976854
34786387,2,1.679022577
32228808,2,1.66070638
35051851,2,1.66070638
33714180,2,1.66070638
32387346,2,1.66070638
35110318,2,1.616555316
33635826,2,1.613193575
34014037,2,1.540718259
33979464,2,1.525333926
33434590,2,1.51998592
34835179,2,1.508547121
34650963,2,1.504458402
33310786,2,1.468515665
33439359,2,1.467975903
32853193,2,1.467420078
34604567,2,1.467239279
33733272,2,1.467239279
34491806,2,1.466826778
34910741,2,1.466788705
33174766,2,1.466729094
34179427,2,1.466729094
34580628,2,1.466703533
32703816,2,1.466073582
34888070,2,1.466066399
32363987,2,1.46599982
33334396,2,1.465858821
32502616,2,1.465677287
32602604,2,1.465582091
34907336,2,1.46557954
32667280,2,1.465459661
34562266,2,1.465416687
33263116,2,1.465416687
34331179,2,1.46526371
35054329,2,1.465250893
33395122,2,1.465213148
34917383,2,1.465098277
34197968,2,1.464530376
33336011,2,1.464524183
33705367,2,1.464505442
34215803,2,1.463905661
35125985,2,1.463840261
33681691,2,1.463770232
33439853,2,1.463770232
32582312,2,1.463573232
33233003,2,1.463573232
32425491,2,1.463510725
34231887,2,1.463507969
32574337,2,1.463413483
34862297,2,1.463298821
33317814,2,1.463298821
33822734,2,1.463298821
33030622,2,1.463298821
34828615,2,1.463298821
34730277,2,1.463269007
34653954,2,1.463269007
33152199,2,1.463269007
35072934,2,1.463269007
34419466,2,1.463059163
33930563,2,1.463035786
34713795,2,1.463035786
33120949,2,1.462945449
34431686,2,1.462893155
34908662,2,1.462714127
34636913,2,1.462714127
34690527,2,1.462589533
33619362,2,1.462552574
34562486,2,1.462552574
35017881,2,1.462520572
32607704,2,1.462520572
34658419,2,1.462520572
34842000,2,1.462490794
34188336,2,1.462397656
34705466,2,1.462354466
33932361,2,1.462336862
34835030,2,1.462336862
32412897,2,1.462312764
35011058,2,1.462250363
33904584,2,1.462220385
33785495,2,1.462190522
34774517,2,1.462175501
32589775,2,1.462175501
34656402,2,1.462175501
32554251,2,1.462143571
34967364,2,1.462083502
34756092,2,1.462083502
33914789,2,1.462048278
35079656,2,1.462048278
34305135,2,1.462048278
35034982,2,1.462032815
34759326,2,1.462032815
34898964,2,1.461993141
34776626,2,1.461993141
34526033,2,1.461993141
33846942,2,1.461993141
32370128,2,1.461899445
32379727,2,1.461899445
34477914,2,1.461861641
33664052,2,1.461861641
32751624,2,1.461861641
34883311,2,1.461861641
34832216,2,1.461704048
32986671,2,1.461698157
34765895,2,1.461675508
34555100,2,1.461665528
33040272,2,1.461618015
34226184,2,1.46158785
33161808,2,1.46158785
33388756,2,1.46158785
33953243,2,1.461570421
33411735,2,1.461558377
32266995,2,1.461441772
32839534,2,1.461333578
33864692,2,1.46124802
33204186,2,1.46124802
33882112,2,1.461187909
33418177,2,1.461156468
32757861,2,1.461155452
33890566,2,1.461152416
35149246,2,1.461146639
34763105,2,1.46109538
35173508,2,1.461092065
34469522,2,1.461092065
33826439,2,1.461092065
32708334,2,1.461068442
32497776,2,1.461067471
35162704,2,1.461051467
32077206,2,1.461050133
32271625,2,1.461050133
33590901,2,1.461050133
34340747,2,1.461050133
35000801,2,1.461014628
34088789,2,1.460884909
32534848,2,1.46081458
33209106,2,1.46081458
32613681,2,1.46081458
33866607,2,1.460726074
34899066,2,1.460622438
34902039,2,1.460542962
33084869,2,1.460542962
32206694,2,1.460534502
33629269,2,1.460523391
33291710,2,1.460496908
33679494,2,1.460496908
32755529,2,1.460496908
35002503,2,1.460496908
32304994,2,1.460496908
33185723,2,1.460430435
34464326,2,1.460430435
34008883,2,1.460378536
35136584,2,1.460378536
32380430,2,1.460274196
33931118,2,1.460274196
34161318,2,1.460274196
33219796,2,1.460269889
34550990,2,1.460152979
34883153,2,1.460152979
34163169,2,1.460152979
33730325,2,1.460152979
34927124,2,1.460088371
33993296,2,1.460088371
32376398,2,1.46003728
32762401,2,1.46003728
32918300,2,1.460034029
33172022,2,1.460034029
33706663,2,1.460034029
34686088,2,1.460031224
34705221,2,1.460031224
34252616,2,1.460031224
32224712,2,1.460029382
32367793,2,1.460013337
35003709,2,1.460013337
34007944,2,1.45988941
33673575,2,1.459703294
32636851,2,1.459658075
34381495,2,1.459658075
34539477,2,1.45958328
33617133,2,1.459554371
33070173,2,1.459550643
35136868,2,1.459539023
32817602,2,1.45944884
34900584,2,1.45944884
32610153,2,1.459442335
33555230,2,1.459440166
34713799,2,1.459432541
35051133,2,1.45942675
33390864,2,1.459393764
34381939,2,1.459393764
35056390,2,1.459245228
32422076,2,1.459245228
33564989,2,1.459235465
32430084,2,1.459235465
34073291,2,1.459235465
34876830,2,1.459209553
33711942,2,1.459169802
34177672,2,1.459096754
32252141,2,1.459090808
33955174,2,1.458954904
33923031,2,1.458954904
32852264,2,1.458922785
34641151,2,1.458919778
34163149,2,1.458755104
33166179,2,1.458755104
35000578,2,1.458705164
34340722,2,1.458661396
34733905,2,1.458661396
34529736,2,1.458661396
34373156,2,1.458661396
33537279,2,1.458599938
33890703,2,1.458475017
34879105,2,1.458475017
35067739,2,1.458475017
33007992,2,1.45846104
32178774,2,1.45846104
33489841,2,1.45846104
33358936,2,1.458327459
34610919,2,1.458295242
34231886,2,1.458262025
33629267,2,1.458126265
33602698,2,1.458126265
32496536,2,1.458084164
34952634,2,1.458084164
34452014,2,1.458084164
33670360,2,1.45804378
34208912,2,1.45804378
33469347,2,1.458012494
33761109,2,1.458001873
32840560,2,1.457994189
33394049,2,1.457994189
33900170,2,1.457994189
34638235,2,1.457994189
33673614,2,1.457994189
33070797,2,1.457992684
32527300,2,1.457928221
34594849,2,1.457827492
32532740,2,1.457827492
33019951,2,1.457768945
32363221,2,1.457762644
34889765,2,1.457748281
34473680,2,1.457748281
34534226,2,1.457702807
34265241,2,1.457702807
34255801,2,1.457582673
35160306,2,1.457582673
32682855,2,1.457505439
34665803,2,1.457503523
33894985,2,1.457463421
33912041,2,1.457348577
34770855,2,1.457270351
32007643,2,1.457221891
33643675,2,1.457221891
34940501,2,1.457221891
33622946,2,1.457221891
35002189,2,1.457221891
33214132,2,1.457221891
32611761,2,1.457207256
32292911,2,1.457198104
32718008,2,1.457172339
33316808,2,1.457128351
34545805,2,1.457127682
33577397,2,1.457127682
32478950,2,1.457127043
34477548,2,1.456848177
35068944,2,1.456848177
34767594,2,1.456828095
34893956,2,1.456512974
33407964,2,1.456501242
33335812,2,1.456472169
34035494,2,1.456392247
34725531,2,1.456365161
33333256,2,1.456344673
34315299,2,1.456344673
35056343,2,1.45634169
34869145,2,1.456275637
33107408,2,1.456275637
34584834,2,1.456273298
33606678,2,1.456273298
33230697,2,1.456273298
33932228,2,1.456273173
34688569,2,1.45625822
34675578,2,1.456245829
33588965,2,1.456226026
32834578,2,1.456223011
32198004,2,1.456197923
32317810,2,1.456170257
32947805,2,1.456169082
32574318,2,1.456168671
33860555,2,1.456168088
33394313,2,1.456164485
34259660,2,1.456164485
33032680,2,1.456164485
34750495,2,1.45614277
34138834,2,1.456142719
32185368,2,1.456142651
34530899,2,1.456142637
